hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude
City Hotel,0,80,2022,May,4,14,10,0,10,3,3,0,FB,ESP,Direct,Direct,1,2,2,F,H,0,No Deposit,7,,20,Transient,211.93923964741816,1,3,Check-Out,2022-09-26,31.17553940862023,121.4184432968437
Resort Hotel,0,43,2023,August,5,7,2,2,9,2,1,0,HB,CHN,Offline TA,Direct,0,1,1,E,E,0,No Deposit,7,,24,Transient,390.45285169811035,2,2,Check-Out,2022-09-18,31.23665958722953,121.51219456238219
City Hotel,0,284,2022,March,10,29,2,4,0,1,3,1,HB,DEU,Groups,TA/TO,0,0,1,C,C,1,No Deposit,17,,28,Transient,297.87951262381057,0,2,Check-Out,2022-10-15,31.258673353834016,121.40422771213645
Resort Hotel,1,154,2022,October,4,39,8,0,12,3,3,1,FB,CHN,Offline TA,Corporate,0,0,3,C,F,2,No Deposit,5,,27,Transient-Party,276.1226309200604,1,1,Canceled,2022-09-23,31.166032255244748,121.59923374923395
Resort Hotel,0,67,2022,January,6,42,19,2,0,2,1,1,HB,CHN,Online TA,Direct,0,2,0,B,H,4,No Deposit,7,,4,Transient-Party,344.4944658139007,2,4,Check-Out,2023-06-04,31.116042951087216,121.46645281546584
Resort Hotel,0,47,2023,October,4,51,21,4,5,3,0,1,HB,ESP,Direct,Direct,0,0,3,B,E,4,Refundable,4,,6,Contract,84.9266594024784,1,4,Check-Out,2022-02-25,31.271866095677456,121.4014674223673
Resort Hotel,1,227,2022,January,5,14,20,2,10,4,0,0,SC,DEU,Online TA,Direct,0,2,3,G,F,1,No Deposit,19,,11,Transient,351.57250282257615,1,3,Canceled,2022-01-25,31.1717785351363,121.4845942525995
Resort Hotel,0,94,2022,July,4,15,4,4,2,1,0,0,BB,USA,Online TA,Direct,0,1,0,E,A,2,No Deposit,6,7,21,Contract,234.18600761367733,1,3,Check-Out,2022-01-20,31.163309771769782,121.4255114395099
City Hotel,1,320,2023,October,2,43,4,1,8,3,2,1,HB,DEU,Direct,Direct,0,0,2,E,F,1,No Deposit,16,7,19,Transient-Party,280.6527556057949,2,1,Canceled,2022-01-22,31.277244469773976,121.40849038450179
Resort Hotel,0,30,2022,July,9,14,1,1,6,1,0,1,FB,USA,Corporate,TA/TO,1,0,1,F,G,0,No Deposit,11,,9,Transient,204.09115689929365,2,3,Check-Out,2023-06-25,31.26947838715033,121.54344719170584
City Hotel,0,32,2023,July,8,41,19,1,1,4,1,0,BB,GBR,Groups,Direct,0,0,3,B,D,0,No Deposit,8,3,10,Transient-Party,495.7240759634817,0,0,Check-Out,2022-12-11,31.15181318171407,121.54469679848215
City Hotel,1,276,2022,February,10,25,28,1,3,3,2,1,FB,ITA,Groups,Direct,0,1,0,B,H,4,No Deposit,4,,3,Transient,490.0260383005637,0,0,Canceled,2023-05-22,31.1463604503327,121.5828754367097
City Hotel,1,127,2022,July,1,27,23,4,3,1,2,0,BB,CHN,Offline TA,Corporate,0,0,3,D,H,3,No Deposit,7,,1,Transient,210.86983483678802,1,2,Canceled,2022-08-23,31.241022082978027,121.51540753473259
Resort Hotel,0,307,2023,September,10,13,26,0,10,4,2,1,BB,FRA,Corporate,Direct,0,2,3,E,C,0,No Deposit,15,,17,Transient,288.3387775609043,0,1,Check-Out,2022-11-15,31.147057805154997,121.54420584983633
Resort Hotel,0,164,2023,June,10,44,24,2,7,2,0,0,HB,PRT,Groups,Direct,0,1,4,B,C,0,No Deposit,10,,2,Transient-Party,383.55759203394837,0,3,Check-Out,2022-06-29,31.23846365630666,121.56622618959798
City Hotel,0,36,2022,May,7,19,3,4,3,4,0,0,SC,DEU,Offline TA,Corporate,0,0,1,G,C,0,No Deposit,15,,23,Transient,317.3072545709967,1,3,Check-Out,2023-12-04,31.252537029267295,121.52562895423875
Resort Hotel,0,317,2023,March,10,9,11,3,4,2,3,1,SC,GBR,Groups,Corporate,0,1,1,E,D,0,Refundable,9,,23,Transient,258.46883800523386,0,3,Check-Out,2023-11-25,31.255097379366177,121.51836051831461
Resort Hotel,0,292,2023,March,1,48,12,0,1,1,3,1,BB,CHN,Corporate,Corporate,0,0,3,D,G,2,Refundable,19,,3,Contract,422.2383386316621,0,3,Check-Out,2023-01-21,31.232941015984764,121.52421887251533
Resort Hotel,0,62,2023,August,6,1,16,2,10,4,2,1,SC,CHN,Offline TA,Direct,0,1,3,F,H,0,No Deposit,14,,7,Transient,85.39438007069268,2,1,Check-Out,2023-06-03,31.10396590274907,121.5570812912086
City Hotel,0,176,2023,December,4,8,17,0,4,3,3,0,FB,ESP,Offline TA,Direct,0,1,2,G,E,2,No Deposit,5,,14,Contract,249.5133226428338,0,4,Check-Out,2022-02-06,31.254356921580083,121.42283084836066
City Hotel,0,87,2022,December,10,16,10,0,1,3,3,0,SC,ESP,Corporate,TA/TO,0,0,2,A,H,4,No Deposit,9,4,19,Transient,392.41215086226265,1,1,Check-Out,2023-08-03,31.29407703190308,121.53165382193421
City Hotel,1,222,2022,May,6,15,21,4,10,2,0,1,FB,ESP,Direct,TA/TO,0,1,0,A,D,4,No Deposit,7,,25,Transient-Party,184.61234636628282,0,1,Canceled,2022-12-22,31.293100144015817,121.51405353278088
Resort Hotel,0,127,2022,March,2,19,5,2,14,2,0,1,BB,FRA,Groups,TA/TO,0,0,0,B,E,3,No Deposit,15,,8,Transient,370.7931240587019,0,1,Check-Out,2022-10-16,31.159742953531058,121.4496562632442
City Hotel,0,107,2022,July,1,9,14,0,8,4,1,0,FB,DEU,Online TA,Corporate,0,2,4,G,E,2,Refundable,16,,7,Transient,499.2907370630203,1,3,Check-Out,2022-01-12,31.25242787048069,121.51668422391015
City Hotel,0,187,2023,September,9,27,13,3,3,2,3,1,SC,PRT,Offline TA,Direct,0,2,2,H,H,0,No Deposit,20,,22,Contract,341.09419413421193,0,0,Check-Out,2022-06-18,31.233342099625244,121.45075994676142
City Hotel,0,60,2022,April,2,34,7,4,7,3,0,0,SC,FRA,Corporate,Corporate,1,2,4,C,C,1,No Deposit,20,,11,Transient,166.73429369333462,0,0,Check-Out,2023-02-03,31.246207344065954,121.41433059875922
Resort Hotel,0,187,2022,January,4,10,2,3,12,1,1,0,HB,ESP,Online TA,Corporate,0,1,3,B,A,3,No Deposit,13,,10,Transient,60.37442500220295,0,0,No-Show,2023-08-27,31.27059005586652,121.58744170996886
City Hotel,0,208,2022,May,9,37,14,2,14,3,0,0,BB,PRT,Groups,Direct,0,0,3,B,C,4,No Deposit,11,,26,Transient-Party,486.6845680418047,0,1,Check-Out,2022-04-13,31.190236814971005,121.53171379495893
Resort Hotel,0,181,2023,May,1,17,26,0,5,3,2,1,BB,USA,Direct,Direct,0,0,0,C,G,4,No Deposit,7,,23,Transient,182.43299963014184,1,3,Check-Out,2023-07-25,31.243400402881374,121.59927710256315
City Hotel,1,345,2022,May,3,2,24,3,3,2,1,1,SC,FRA,Online TA,TA/TO,0,1,3,C,B,4,No Deposit,14,,3,Transient,488.0188859973596,2,4,Canceled,2023-09-20,31.268633618497798,121.58756817230774
City Hotel,1,303,2022,May,2,41,1,3,12,1,0,0,BB,USA,Groups,TA/TO,0,1,0,H,B,0,No Deposit,15,,16,Transient,239.34742479828378,1,0,Canceled,2023-06-09,31.206380463659453,121.51012054125665
Resort Hotel,1,146,2023,April,2,8,28,0,6,1,0,1,BB,ITA,Offline TA,Direct,0,0,3,B,B,3,Refundable,8,,17,Transient,425.84378706545925,2,1,Canceled,2023-04-16,31.216842690888875,121.55792298839638
Resort Hotel,0,141,2023,February,12,37,19,0,8,4,1,0,HB,PRT,Groups,TA/TO,0,1,0,H,E,4,No Deposit,8,,24,Transient,461.53362736107977,1,0,No-Show,2023-05-25,31.151932869648206,121.42446007493736
City Hotel,0,338,2022,March,8,22,3,2,11,3,2,1,SC,CHN,Groups,Direct,0,0,2,H,C,0,Refundable,13,,25,Contract,485.17638699815535,0,3,Check-Out,2023-09-20,31.120386885110136,121.51716266313649
City Hotel,0,284,2023,February,4,28,4,0,5,3,0,1,FB,USA,Direct,Direct,0,2,0,D,E,3,No Deposit,4,,0,Transient,466.24787483791056,2,4,Check-Out,2023-08-04,31.173159453725102,121.48324728227341
Resort Hotel,0,193,2022,February,1,23,24,3,13,3,1,0,FB,FRA,Corporate,Direct,0,2,2,C,A,1,No Deposit,15,,13,Transient,245.4457983027175,0,2,Check-Out,2022-07-19,31.200977719219278,121.50118428289882
City Hotel,0,238,2022,February,6,48,22,3,8,3,3,0,FB,ESP,Online TA,Corporate,0,1,0,H,F,4,No Deposit,15,,0,Transient,270.4999136668177,1,3,Check-Out,2022-07-31,31.159547879360233,121.5777871498941
Resort Hotel,0,83,2023,July,8,19,14,4,12,4,3,1,SC,ESP,Offline TA,Corporate,0,1,0,G,F,0,No Deposit,12,,15,Transient-Party,396.54985124521266,1,2,Check-Out,2022-07-26,31.20778703691953,121.52466571997168
City Hotel,0,247,2022,December,7,5,21,0,11,3,2,0,HB,USA,Online TA,Direct,0,2,4,F,F,3,No Deposit,16,,14,Transient,194.17819604356973,1,2,Check-Out,2023-10-29,31.1171094552992,121.59257122899233
Resort Hotel,1,18,2022,November,12,17,6,0,4,1,0,1,SC,USA,Offline TA,Corporate,0,1,1,E,D,0,No Deposit,13,,20,Transient,375.2616077947434,1,2,Canceled,2023-04-08,31.231885524777212,121.55591840905446
City Hotel,1,174,2023,February,12,41,18,1,6,2,1,1,BB,PRT,Groups,TA/TO,0,0,2,F,A,2,No Deposit,12,,6,Transient,394.0843759153767,0,0,Canceled,2022-01-03,31.298148227535677,121.4284766975217
Resort Hotel,0,150,2023,August,5,8,5,1,12,2,3,0,HB,USA,Groups,TA/TO,0,1,0,F,F,3,No Deposit,16,,18,Transient,99.7215114634266,0,1,Check-Out,2022-06-14,31.17521223516404,121.51561391681089
Resort Hotel,1,364,2022,October,1,40,21,2,2,3,1,0,BB,USA,Direct,Direct,0,2,4,D,F,1,No Deposit,16,7,3,Transient-Party,238.3006586982941,0,0,Canceled,2022-02-01,31.161666232737332,121.45561528568444
Resort Hotel,0,57,2022,June,12,11,29,4,6,4,0,0,FB,CHN,Online TA,Corporate,0,2,2,B,F,1,No Deposit,19,,23,Group,246.34897037429891,0,1,Check-Out,2022-01-20,31.216239694849836,121.45132523268852
City Hotel,0,95,2023,September,8,15,3,4,11,1,1,0,FB,ITA,Offline TA,Corporate,0,1,1,C,F,0,No Deposit,6,,13,Transient-Party,455.034894557204,2,2,Check-Out,2023-06-28,31.226422029459624,121.58798721309593
City Hotel,0,100,2023,November,12,37,5,2,4,3,0,1,SC,GBR,Groups,Corporate,0,2,4,D,A,0,No Deposit,11,,3,Transient,78.61303263686221,1,0,Check-Out,2023-02-23,31.120554379431876,121.44432140017275
City Hotel,0,201,2022,April,9,32,15,0,0,4,2,0,HB,DEU,Direct,TA/TO,1,2,0,G,G,1,No Deposit,1,,24,Transient,469.24656427788676,2,4,Check-Out,2023-05-14,31.200376971906053,121.52874677493011
Resort Hotel,0,279,2023,April,12,14,11,2,7,4,2,0,SC,ESP,Direct,Direct,0,2,2,G,A,2,No Deposit,5,,20,Transient,207.11113074932217,1,1,Check-Out,2023-03-22,31.21400677114282,121.57911511925565
Resort Hotel,0,125,2023,January,12,25,4,4,2,1,0,1,FB,CHN,Groups,Direct,0,1,3,D,F,4,No Deposit,5,,23,Transient,70.56746770641429,0,4,Check-Out,2022-01-25,31.11995697273011,121.48355036230814
City Hotel,1,327,2022,March,2,26,1,0,5,2,3,0,BB,FRA,Groups,Corporate,0,2,2,D,A,1,No Deposit,17,,9,Group,385.0430927413139,0,3,Canceled,2022-10-15,31.13020479397596,121.48562478944841
Resort Hotel,0,106,2022,July,1,6,1,3,12,3,0,0,BB,PRT,Direct,TA/TO,1,0,0,B,G,3,Refundable,11,,2,Transient,87.57247289403992,1,2,Check-Out,2023-06-24,31.14167185769482,121.41245591230309
Resort Hotel,0,226,2022,October,3,27,8,4,3,3,2,1,BB,CHN,Offline TA,TA/TO,0,1,2,G,E,4,No Deposit,9,,10,Transient,201.07632910885314,2,3,Check-Out,2023-10-19,31.109303803538133,121.5412133837157
City Hotel,0,23,2022,November,8,49,27,3,2,1,3,1,BB,DEU,Corporate,TA/TO,0,0,4,B,D,2,Refundable,12,,1,Transient,131.6490621141681,0,0,Check-Out,2022-12-15,31.226018182436558,121.48187293944099
City Hotel,1,219,2022,March,8,29,18,4,2,2,1,1,FB,CHN,Groups,TA/TO,0,1,0,F,A,3,No Deposit,6,,15,Transient,223.01534979581263,2,1,Canceled,2022-01-17,31.100475084952517,121.5519220419686
Resort Hotel,1,9,2022,February,6,13,22,2,1,3,3,1,BB,ESP,Groups,TA/TO,0,2,4,B,H,0,No Deposit,,4,13,Transient,317.0310708121468,2,3,Canceled,2022-04-01,31.29129069366696,121.57697587065694
Resort Hotel,0,189,2023,May,12,19,22,0,5,2,2,1,FB,FRA,Online TA,Direct,0,0,4,C,E,3,No Deposit,10,,8,Transient,258.68204950770837,2,1,Check-Out,2022-08-07,31.14375314332991,121.59707927103752
Resort Hotel,0,307,2022,February,11,26,20,4,3,1,1,0,FB,GBR,Offline TA,Corporate,1,2,3,B,A,4,No Deposit,15,,21,Transient,294.4643841410689,1,4,No-Show,2022-03-05,31.280876226787374,121.40402455674703
Resort Hotel,1,113,2022,August,7,21,2,0,8,3,2,0,SC,DEU,Corporate,Direct,0,0,1,G,F,3,No Deposit,8,,23,Contract,315.4103600521097,1,4,Canceled,2023-04-04,31.134539502425405,121.44896596980236
City Hotel,0,246,2022,June,9,17,27,3,7,1,2,1,FB,DEU,Direct,Corporate,0,2,3,B,C,3,No Deposit,11,,10,Transient-Party,416.10298201564245,0,3,Check-Out,2022-08-13,31.2559523036695,121.4644972823432
City Hotel,0,248,2023,March,7,29,11,3,7,3,3,0,SC,DEU,Offline TA,Direct,0,0,1,B,H,2,No Deposit,20,,15,Transient,135.55507919868393,2,3,Check-Out,2023-05-20,31.226563850073873,121.43258315267568
Resort Hotel,1,208,2023,December,6,24,25,0,14,1,3,1,BB,PRT,Groups,TA/TO,0,0,3,E,C,4,Refundable,12,,15,Transient,78.67864043195425,0,3,Canceled,2023-09-02,31.176680012605992,121.55147862923754
Resort Hotel,1,264,2023,October,3,49,27,0,9,4,1,0,HB,GBR,Direct,Direct,0,2,3,H,E,1,No Deposit,3,,23,Transient,224.62413490020728,0,4,Canceled,2023-07-09,31.126230725002944,121.5212132902345
City Hotel,0,54,2022,August,5,3,14,2,13,2,0,0,SC,CHN,Online TA,Direct,0,0,1,C,F,3,Refundable,10,,9,Transient,332.2692415461162,1,1,No-Show,2022-03-27,31.242849739122953,121.52820968952324
Resort Hotel,0,116,2022,May,10,3,12,2,0,1,0,0,HB,ITA,Online TA,Corporate,0,1,4,H,C,4,No Deposit,3,,8,Group,287.71117499780075,1,2,Check-Out,2023-06-19,31.170125721561877,121.40166612714793
City Hotel,0,13,2023,May,3,10,15,1,1,3,2,1,FB,DEU,Direct,Corporate,0,0,3,C,A,0,Refundable,12,,2,Transient,304.62807865159624,1,1,Check-Out,2022-09-19,31.148594007537426,121.5121566203525
Resort Hotel,0,41,2022,September,10,33,16,3,3,4,2,0,HB,CHN,Corporate,TA/TO,0,0,4,A,C,0,No Deposit,1,,1,Contract,466.04107585101184,2,2,Check-Out,2023-04-28,31.236342998802797,121.49331283361074
Resort Hotel,1,70,2022,March,4,39,17,1,5,4,0,1,HB,PRT,Online TA,Direct,0,2,0,B,D,0,No Deposit,8,,24,Transient,426.92557609352946,0,4,Canceled,2022-06-29,31.159792388996106,121.41234339737949
Resort Hotel,0,309,2022,May,8,44,14,1,9,4,2,1,FB,GBR,Offline TA,Direct,0,0,4,H,H,2,No Deposit,9,,27,Transient,325.3106559033395,0,4,Check-Out,2022-07-11,31.28491393787908,121.54252413166877
City Hotel,0,225,2023,June,1,46,7,0,4,4,3,0,SC,ESP,Offline TA,Direct,0,2,1,A,D,3,Refundable,4,,25,Transient,221.6334923571723,0,0,Check-Out,2022-12-11,31.111202164961167,121.54101427529383
Resort Hotel,0,325,2023,March,2,46,12,0,11,4,1,0,BB,ESP,Groups,Corporate,0,1,2,B,B,0,No Deposit,14,3,29,Transient,394.67528035207454,1,0,Check-Out,2023-04-15,31.110467956392025,121.58308614904722
Resort Hotel,0,91,2022,June,1,24,5,0,3,4,3,0,HB,DEU,Online TA,TA/TO,0,1,2,C,D,1,No Deposit,9,,14,Contract,237.84506578783592,0,4,No-Show,2022-08-06,31.25163271168493,121.41250583483426
City Hotel,0,100,2022,January,4,33,20,1,1,4,2,1,BB,USA,Online TA,Corporate,0,1,3,C,F,4,No Deposit,13,,22,Contract,119.26857478383353,2,3,Check-Out,2022-12-02,31.20130403529428,121.41870506865958
City Hotel,1,73,2023,March,4,46,26,0,9,4,3,1,BB,GBR,Online TA,Direct,0,0,3,C,B,0,No Deposit,3,,29,Transient,418.1934075837476,0,1,Canceled,2023-04-17,31.134664419196174,121.51283472152909
City Hotel,0,1,2023,February,1,25,4,0,4,1,1,0,BB,CHN,Offline TA,Direct,0,1,0,B,C,4,No Deposit,7,,12,Transient,403.634143447328,0,0,Check-Out,2023-07-05,31.214145947982715,121.4124448042165
City Hotel,0,223,2022,June,9,7,22,3,1,4,3,1,SC,ITA,Corporate,Direct,0,0,3,F,B,4,No Deposit,19,,9,Transient,446.023246456224,0,2,Check-Out,2022-07-31,31.18520611214822,121.55217633170535
City Hotel,0,279,2023,March,8,35,1,4,3,2,1,1,HB,GBR,Direct,Direct,0,0,2,B,E,3,No Deposit,15,,7,Transient,76.19090121092215,2,4,Check-Out,2022-01-05,31.20473917488998,121.52935788774133
Resort Hotel,0,0,2022,June,11,7,11,2,9,3,1,1,FB,ITA,Corporate,Direct,0,1,4,D,F,3,Refundable,5,,26,Transient,324.19003519421267,0,4,Check-Out,2022-03-24,31.223970093274403,121.48631700521354
City Hotel,0,288,2023,October,12,37,2,3,11,3,2,1,HB,PRT,Groups,TA/TO,0,2,4,A,D,1,No Deposit,4,,11,Transient,100.25464015158357,1,3,Check-Out,2023-08-09,31.117660307061357,121.49557761173455
City Hotel,0,27,2023,November,11,32,5,3,8,2,0,1,HB,PRT,Direct,Corporate,0,0,3,F,B,1,No Deposit,15,,0,Transient,149.02381296392886,1,0,Check-Out,2022-07-11,31.196753307072136,121.48704765178431
City Hotel,0,18,2023,April,6,8,21,2,13,3,0,0,SC,PRT,Online TA,TA/TO,0,0,4,B,B,2,No Deposit,16,,2,Transient,80.18354466291342,2,0,Check-Out,2022-03-01,31.23615330422154,121.40109924033335
Resort Hotel,0,215,2023,August,11,19,18,3,11,4,0,0,BB,ESP,Corporate,Corporate,0,1,2,E,F,3,No Deposit,4,,28,Transient,441.4049002807692,1,3,Check-Out,2022-03-14,31.10822842125945,121.46060858944738
Resort Hotel,0,342,2022,October,7,35,12,1,5,4,1,1,BB,DEU,Direct,Direct,0,0,0,E,G,4,No Deposit,10,,1,Transient,159.22499561013456,0,3,Check-Out,2023-03-05,31.287918232513597,121.48262764261806
Resort Hotel,0,218,2022,April,4,27,22,3,9,1,0,1,FB,GBR,Corporate,TA/TO,0,2,1,A,B,1,Refundable,10,,4,Transient,349.7678181850474,1,3,Check-Out,2022-07-06,31.177585469699366,121.42664794032568
Resort Hotel,1,93,2023,July,11,52,9,2,3,3,3,1,SC,PRT,Online TA,Corporate,0,0,2,A,E,2,Refundable,14,,12,Transient,186.18053935373243,2,3,Canceled,2023-01-30,31.194643286471912,121.42134601953542
City Hotel,1,119,2022,January,4,35,2,3,12,3,0,0,BB,GBR,Online TA,Direct,0,0,0,C,G,2,No Deposit,8,,12,Transient-Party,440.3035367396386,2,1,Canceled,2023-05-28,31.108976664057735,121.45808463869639
City Hotel,1,93,2023,June,6,8,25,2,3,4,3,0,SC,USA,Groups,Corporate,0,2,2,H,G,3,No Deposit,8,,6,Transient-Party,478.56592253583824,1,4,Canceled,2023-11-27,31.132832109894917,121.55077905477498
City Hotel,0,218,2022,March,7,38,1,4,9,2,3,1,BB,USA,Direct,Direct,0,0,1,D,F,0,Refundable,10,,23,Transient,127.05913337443188,2,4,Check-Out,2023-08-17,31.1309205278193,121.56441309813681
City Hotel,0,199,2023,March,3,7,3,4,7,4,2,0,FB,PRT,Groups,Corporate,0,2,3,G,C,4,No Deposit,2,,0,Transient,285.6214288089607,0,2,Check-Out,2023-12-09,31.190979433268758,121.41697725104306
City Hotel,0,218,2022,December,9,49,7,1,12,4,3,0,HB,CHN,Online TA,Corporate,0,2,0,F,B,1,No Deposit,2,9,11,Transient,250.39545437800814,2,2,Check-Out,2022-04-15,31.23159814155006,121.46642575338379
Resort Hotel,1,168,2022,November,7,20,4,2,10,2,2,0,BB,CHN,Direct,Corporate,0,2,0,E,D,0,No Deposit,2,,19,Transient,94.31272122078083,2,3,Canceled,2023-06-25,31.136181116642117,121.59523286813258
Resort Hotel,1,65,2022,December,5,9,24,4,10,3,1,1,HB,DEU,Corporate,Corporate,0,2,1,E,B,3,No Deposit,20,,12,Transient-Party,160.20887936848246,1,1,Canceled,2023-03-09,31.20202669485386,121.45900615851424
Resort Hotel,0,157,2023,November,8,39,23,0,3,3,0,0,HB,FRA,Online TA,TA/TO,0,1,4,E,E,0,No Deposit,17,,13,Transient,282.24057130883006,2,2,Check-Out,2022-02-07,31.183602087541264,121.52854369632671
Resort Hotel,1,214,2023,December,10,17,3,4,0,1,2,1,BB,PRT,Corporate,Corporate,0,0,1,C,G,4,No Deposit,,9,15,Transient,357.41111417106686,2,2,Canceled,2022-10-28,31.282176746700156,121.54639287549516
Resort Hotel,0,70,2023,April,6,24,7,2,13,2,2,1,FB,CHN,Offline TA,Corporate,0,2,4,F,G,4,No Deposit,10,,15,Transient,455.0344825980145,0,2,Check-Out,2023-03-12,31.153583854300464,121.43590006130667
Resort Hotel,0,114,2023,June,11,47,19,4,10,1,2,0,HB,DEU,Groups,Direct,0,0,0,C,F,2,No Deposit,15,,11,Transient,115.8328105974311,1,0,No-Show,2022-06-13,31.29192110616201,121.47439933278923
City Hotel,0,41,2023,June,9,31,13,1,6,2,0,1,HB,DEU,Offline TA,Direct,0,0,0,C,D,2,No Deposit,3,,17,Transient-Party,110.3019149592937,0,4,Check-Out,2023-06-27,31.111840516148632,121.5212861292807
City Hotel,0,131,2023,October,11,31,10,3,1,1,3,0,SC,ESP,Offline TA,Direct,0,1,4,B,H,3,Refundable,19,,27,Transient,490.06647175754375,0,2,Check-Out,2023-11-20,31.232617383807288,121.5838800631827
Resort Hotel,1,153,2022,August,3,9,10,0,12,2,3,0,BB,ITA,Online TA,TA/TO,0,0,3,E,E,3,No Deposit,4,,2,Transient,215.76864192782534,1,2,Canceled,2023-12-18,31.126672321724232,121.45240117412065
Resort Hotel,0,89,2023,September,2,42,5,1,14,2,0,0,BB,ITA,Corporate,Corporate,0,1,4,H,E,3,Refundable,6,,10,Transient,131.55385405427594,1,1,Check-Out,2023-08-03,31.285900928040903,121.50211554034507
Resort Hotel,0,322,2022,April,7,21,4,3,4,1,3,1,SC,PRT,Groups,Corporate,0,0,3,F,H,0,No Deposit,14,,15,Transient,73.63110630187569,0,3,Check-Out,2022-04-11,31.26199569763175,121.45376626052206
Resort Hotel,0,253,2022,August,4,22,7,2,1,4,1,0,HB,DEU,Offline TA,Direct,0,1,4,H,E,4,No Deposit,6,,25,Transient,375.19682063843476,1,4,Check-Out,2023-05-22,31.162252806269716,121.538410329397
City Hotel,1,80,2022,May,3,39,27,3,14,1,1,1,FB,ESP,Corporate,Direct,0,1,3,E,A,2,Refundable,9,,29,Transient,295.6390079495988,2,1,Canceled,2022-07-09,31.165674500152093,121.41607364314149
City Hotel,0,262,2023,October,3,11,26,2,14,1,0,0,SC,DEU,Direct,TA/TO,0,1,4,E,F,3,No Deposit,11,4,18,Transient,466.0072991828568,2,1,Check-Out,2023-09-16,31.192671219517994,121.53624259598281
City Hotel,0,193,2022,October,2,37,25,0,7,2,1,1,SC,GBR,Online TA,TA/TO,0,0,4,A,E,0,Refundable,5,,20,Transient,446.12514821469483,2,2,No-Show,2023-12-22,31.10822088798561,121.59610174497244
Resort Hotel,0,319,2022,September,1,20,23,3,4,3,0,0,SC,FRA,Groups,Corporate,0,1,3,B,D,4,No Deposit,3,,24,Transient,193.703895770509,0,2,Check-Out,2023-12-11,31.181479953090793,121.5756264331587
Resort Hotel,0,9,2022,April,9,22,4,4,7,1,0,0,BB,PRT,Corporate,Direct,0,1,2,G,F,4,No Deposit,,,8,Transient,144.44467014425265,1,0,Check-Out,2022-12-08,31.27958061601631,121.44241600892452
Resort Hotel,0,182,2023,August,4,32,18,4,4,2,2,1,BB,PRT,Direct,Direct,0,1,3,C,F,1,No Deposit,11,,11,Transient,468.3171597146394,2,4,No-Show,2022-09-20,31.147970774940056,121.40254413659592
Resort Hotel,0,199,2023,November,6,26,7,4,3,2,2,0,SC,ITA,Online TA,Direct,0,0,2,H,E,1,No Deposit,17,,3,Transient,266.0026159558138,0,1,Check-Out,2023-08-18,31.196063220747337,121.44425381719765
Resort Hotel,0,127,2023,June,5,34,5,4,1,1,3,1,HB,ITA,Offline TA,Corporate,0,2,0,E,H,0,No Deposit,3,1,18,Transient,422.5262040008576,0,3,Check-Out,2023-10-18,31.220586248909942,121.51060566462614
Resort Hotel,1,88,2022,December,9,42,9,0,6,4,0,1,HB,FRA,Groups,Direct,0,0,2,F,G,1,No Deposit,5,,0,Transient,201.71938635063543,1,0,Canceled,2022-09-15,31.14071602473592,121.55292285783625
Resort Hotel,0,303,2023,October,5,18,11,1,7,1,2,1,HB,CHN,Direct,Corporate,0,1,4,D,B,0,No Deposit,7,9,22,Transient,237.45424626956176,0,1,Check-Out,2023-02-17,31.112954488740264,121.58374282199904
Resort Hotel,1,95,2022,December,12,16,3,4,9,3,0,0,HB,USA,Online TA,Corporate,0,2,3,G,G,0,No Deposit,17,,16,Transient,263.143994394365,2,1,Canceled,2022-10-15,31.281862997362555,121.51802828470548
City Hotel,0,290,2023,August,11,3,2,4,5,3,3,0,FB,FRA,Corporate,Corporate,0,0,3,D,B,1,No Deposit,4,,2,Transient,311.0088107834133,2,0,Check-Out,2022-09-16,31.192424281538393,121.42293224573504
Resort Hotel,0,136,2022,October,4,52,29,0,1,1,2,1,BB,CHN,Direct,Direct,0,0,2,C,E,3,Refundable,14,,22,Transient,369.6169259335405,0,0,Check-Out,2023-10-30,31.140336627921712,121.59117764795447
Resort Hotel,1,350,2022,July,2,33,19,1,0,4,1,0,FB,PRT,Online TA,TA/TO,0,2,3,D,E,1,No Deposit,6,,25,Transient,98.77700547627029,1,0,Canceled,2022-07-22,31.24409786703531,121.59134414899489
Resort Hotel,0,279,2023,August,2,44,12,0,14,1,3,0,BB,USA,Groups,TA/TO,0,2,3,B,C,0,No Deposit,11,,2,Transient,164.83246626931304,1,4,Check-Out,2023-11-27,31.29623812281979,121.4139036461288
City Hotel,0,268,2023,January,9,9,28,1,5,4,3,0,HB,USA,Offline TA,Corporate,0,2,2,H,G,4,Non Refund,16,,19,Transient,464.5889899808084,0,3,Check-Out,2023-04-26,31.268323196039752,121.477737656657
Resort Hotel,0,218,2023,April,6,13,17,2,10,2,3,1,SC,USA,Groups,Direct,0,1,0,H,F,3,No Deposit,,,18,Transient,414.56830965714676,1,0,Check-Out,2023-10-30,31.17564572060381,121.48685528073442
