hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude,arrival_date,arrival_dayofweek,arrival_quarter,arrival_is_weekend,total_nights,weekend_ratio,total_guests,has_children,lead_time_group,avg_price_month_hotel,price_ratio,customer_Contract,customer_Group,customer_Transient,customer_Transient-Party,market_Corporate,market_Direct,market_Groups,market_Offline TA,market_Online TA,is_returning_customer,season,season_autumn,season_spring,season_summer,season_winter,is_peak_season,total_price
City Hotel,0,147,2023,November,11,33,1,3,6,3,2,1,BB,PRT,Offline TA,TA/TO,0,2,4,G,E,0,Refundable,10.0,5.0,8,Transient,374.7615207890565,2,4,Check-Out,2023-10-30,31.169291630894296,121.57756998268876,2023-11-01,2,4,0,9,0.3333333333333333,6,1,three_months,259.72367910568494,1.4429239647285341,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,3372.8536871015085
Resort Hotel,0,282,2023,November,11,5,13,3,2,4,1,1,BB,USA,Offline TA,Corporate,0,2,2,D,G,2,No Deposit,6.0,5.0,7,Transient-Party,248.5716177546807,1,3,Check-Out,2023-11-12,31.13319029675509,121.46858527622248,2023-11-13,0,4,0,5,0.6,6,1,six_months,291.7169324824849,0.8520986959493868,False,False,False,True,False,False,False,True,False,0,autumn,True,False,False,False,0,1242.8580887734033
City Hotel,0,171,2023,May,5,33,23,4,13,4,1,0,FB,ESP,Corporate,TA/TO,0,1,4,F,H,2,No Deposit,11.0,2.0,0,Transient,416.3593281679333,0,2,Check-Out,2023-10-25,31.20613739915409,121.46805016979164,2023-05-23,1,2,0,17,0.23529411764705882,5,1,three_months,280.51644474451695,1.4842599639644534,False,False,True,False,True,False,False,False,False,0,spring,False,True,False,False,0,7078.108578854866
City Hotel,0,284,2022,March,3,50,10,2,4,2,1,1,BB,PRT,Direct,Corporate,0,0,4,B,C,2,No Deposit,6.0,5.0,3,Transient,139.76337529570708,2,0,Check-Out,2022-12-09,31.227049535551277,121.48766510205228,2022-03-10,3,1,0,6,0.3333333333333333,4,1,six_months,272.9333938998365,0.5120786917961335,False,False,True,False,False,True,False,False,False,0,spring,False,True,False,False,0,838.5802517742425
Resort Hotel,0,214,2022,November,11,1,11,1,8,1,0,0,HB,FRA,Direct,Direct,0,0,0,A,A,2,No Deposit,12.0,5.0,27,Transient,246.39972566927145,1,1,Check-Out,2023-07-08,31.28557292412136,121.50211084842796,2022-11-11,4,4,0,9,0.1111111111111111,1,0,six_months,291.7169324824849,0.8446534919054302,False,False,True,False,False,True,False,False,False,0,autumn,True,False,False,False,0,2217.597531023443
City Hotel,0,181,2022,March,3,31,19,4,6,3,3,0,FB,ITA,Offline TA,Direct,0,0,4,E,A,3,No Deposit,9.0,5.0,5,Transient,261.0444623721361,2,3,Check-Out,2022-01-21,31.131405886224947,121.5931296666124,2022-03-19,5,1,1,10,0.4,6,1,six_months,272.9333938998365,0.9564401726083268,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,2610.4446237213606
City Hotel,0,133,2023,May,5,51,19,3,3,2,3,0,BB,DEU,Groups,Direct,0,2,3,F,B,1,Refundable,3.0,5.0,0,Transient,204.51453553550417,2,0,Check-Out,2023-07-06,31.18958456151256,121.41868709058411,2023-05-19,4,2,0,6,0.5,5,1,three_months,280.51644474451695,0.7290643360383657,False,False,True,False,False,False,True,False,False,0,spring,False,True,False,False,0,1227.087213213025
City Hotel,0,132,2023,February,2,45,17,1,3,4,1,1,BB,USA,Online TA,Corporate,0,1,2,B,F,3,No Deposit,8.0,5.0,6,Transient,52.50986866035999,2,4,Check-Out,2023-10-03,31.28595338536705,121.51692915636396,2023-02-17,4,1,0,4,0.25,6,1,three_months,292.99685199897476,0.17921649431422468,False,False,True,False,False,False,False,False,True,0,winter,False,False,False,True,1,210.03947464143997
City Hotel,0,125,2022,May,5,51,25,3,7,1,3,0,BB,GBR,Offline TA,TA/TO,0,1,1,D,C,0,No Deposit,14.0,5.0,9,Transient,446.1826425390469,0,4,Check-Out,2023-12-14,31.11843032688217,121.48596028369585,2022-05-25,2,2,0,10,0.3,4,1,three_months,280.51644474451695,1.5905757074078564,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,4461.826425390469
Resort Hotel,1,210,2022,October,10,18,14,0,7,1,3,1,BB,PRT,Corporate,Direct,0,0,3,F,F,2,No Deposit,13.0,10.0,17,Transient,196.5481397871928,2,2,Canceled,2023-12-05,31.116874257449,121.51689309065772,2022-10-14,4,4,0,7,0.0,5,1,six_months,281.86645522625616,0.6973094390725645,False,False,True,False,True,False,False,False,False,0,autumn,True,False,False,False,0,1375.8369785103496
Resort Hotel,1,305,2022,August,8,30,24,0,1,1,1,0,BB,DEU,Groups,TA/TO,0,2,2,C,A,3,No Deposit,2.0,5.0,20,Transient,241.2569138839572,0,2,Canceled,2023-11-24,31.14764830568158,121.5898410406843,2022-08-24,2,3,0,1,0.0,2,1,six_months,274.1590766754122,0.8799887890255438,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,241.2569138839572
City Hotel,0,275,2023,October,10,51,20,3,5,3,0,1,HB,FRA,Online TA,Direct,0,0,4,A,B,3,No Deposit,18.0,5.0,11,Transient-Party,286.7125183565069,0,4,Check-Out,2023-05-03,31.29702090395523,121.56149140389886,2023-10-20,4,4,0,8,0.375,4,1,six_months,289.2942120238467,0.9910758889737933,False,False,False,True,False,False,False,False,True,0,autumn,True,False,False,False,0,2293.7001468520552
Resort Hotel,1,61,2022,November,11,33,27,2,4,4,0,0,SC,USA,Offline TA,Corporate,0,2,3,G,A,1,No Deposit,11.0,5.0,4,Transient-Party,63.350966448783126,0,0,Canceled,2023-09-19,31.21920058197656,121.4618434077209,2022-11-27,6,4,1,6,0.3333333333333333,4,0,one_month,291.7169324824849,0.21716588718272914,False,False,False,True,False,False,False,True,False,0,autumn,True,False,False,False,0,380.1057986926987
City Hotel,0,14,2022,February,2,36,10,3,1,4,2,1,FB,GBR,Groups,Corporate,0,1,4,A,C,2,No Deposit,5.0,5.0,26,Transient,189.3801859205847,2,4,Check-Out,2022-09-21,31.277135044316545,121.54812817479372,2022-02-10,3,1,0,4,0.75,7,1,one_week,292.99685199897476,0.6463557018737094,False,False,True,False,False,False,True,False,False,0,winter,False,False,False,True,1,757.5207436823388
Resort Hotel,0,217,2023,September,9,1,30,0,11,1,3,0,BB,ITA,Corporate,TA/TO,1,0,2,H,G,0,Refundable,9.0,8.0,5,Transient,290.4388493987849,2,4,Check-Out,2022-09-17,31.24314277549207,121.41523258714103,2023-09-30,5,3,1,11,0.0,4,1,six_months,274.8028019539465,1.0568991558079484,False,False,True,False,True,False,False,False,False,1,autumn,True,False,False,False,0,3194.827343386634
Resort Hotel,1,24,2022,May,5,52,9,4,1,4,2,1,SC,PRT,Online TA,TA/TO,0,2,1,F,E,0,No Deposit,18.0,5.0,10,Transient-Party,395.96079011617593,1,4,Canceled,2022-06-06,31.143645513465756,121.40651817075089,2022-05-09,0,2,0,5,0.8,7,1,one_week,271.9629902531011,1.455936301287454,False,False,False,True,False,False,False,False,True,0,spring,False,True,False,False,0,1979.8039505808797
City Hotel,0,243,2023,December,12,8,18,2,11,4,2,0,HB,DEU,Groups,Corporate,0,1,2,E,A,0,Refundable,10.0,5.0,7,Transient,342.4097325602814,1,4,Check-Out,2023-03-11,31.297281409363183,121.4744300004826,2023-12-18,0,4,0,13,0.15384615384615385,6,1,six_months,300.80748627597126,1.1383018979991169,False,False,True,False,False,False,True,False,False,0,winter,False,False,False,True,1,4451.326523283658
Resort Hotel,0,116,2022,August,8,13,6,2,12,2,1,1,BB,FRA,Online TA,TA/TO,0,1,1,C,C,1,No Deposit,12.0,5.0,24,Transient,428.9215104751202,1,3,Check-Out,2023-05-13,31.1675478147944,121.55953834233,2022-08-06,5,3,1,14,0.14285714285714285,4,1,three_months,274.1590766754122,1.5644986687161095,False,False,True,False,False,False,False,False,True,0,summer,False,False,True,False,1,6004.901146651683
City Hotel,1,221,2022,December,12,33,2,4,8,3,3,0,HB,ESP,Groups,TA/TO,0,0,2,A,E,2,No Deposit,11.0,10.0,29,Transient,105.5207683986172,0,0,Canceled,2022-10-24,31.15420355823668,121.40636798275042,2022-12-02,4,4,0,12,0.3333333333333333,6,1,six_months,300.80748627597126,0.3507916963935158,False,False,True,False,False,False,True,False,False,0,winter,False,False,False,True,1,1266.2492207834064
City Hotel,0,334,2022,November,11,33,30,1,13,4,2,1,SC,DEU,Offline TA,Corporate,0,2,4,C,A,3,No Deposit,18.0,5.0,28,Transient,309.18058529983296,2,2,Check-Out,2022-09-30,31.11338215819724,121.44130805870432,2022-11-30,2,4,0,14,0.07142857142857142,7,1,six_months,259.72367910568494,1.1904212444719888,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,4328.528194197661
City Hotel,0,273,2023,November,11,45,18,2,0,3,2,0,FB,ITA,Groups,Corporate,0,2,1,A,A,1,Refundable,3.0,5.0,21,Transient-Party,79.50923132620662,2,3,Check-Out,2022-07-10,31.171671669386445,121.55732735934728,2023-11-18,5,4,1,2,1.0,5,1,six_months,259.72367910568494,0.3061300825553656,False,False,False,True,False,False,True,False,False,0,autumn,True,False,False,False,0,159.01846265241323
Resort Hotel,0,66,2022,July,7,30,16,3,8,4,2,0,HB,DEU,Groups,TA/TO,1,0,2,H,A,2,No Deposit,4.0,5.0,9,Group,178.60298406618557,1,2,Check-Out,2022-09-07,31.17479164623516,121.48753890444824,2022-07-16,5,3,1,11,0.2727272727272727,6,1,one_month,268.8445055347299,0.6643356304081628,False,True,False,False,False,False,True,False,False,1,summer,False,False,True,False,1,1964.6328247280412
City Hotel,0,347,2023,September,9,39,2,0,13,4,1,1,SC,PRT,Online TA,TA/TO,0,0,4,F,B,0,No Deposit,1.0,5.0,12,Transient,52.93691252062771,2,4,Check-Out,2023-03-23,31.19245688275348,121.4846595606062,2023-09-02,5,3,1,13,0.0,6,1,six_months,273.82474692349155,0.19332406261811916,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,688.1798627681602
Resort Hotel,0,350,2022,February,2,17,8,3,5,1,2,0,SC,PRT,Online TA,Corporate,1,1,3,B,G,3,No Deposit,10.0,5.0,23,Transient,108.5741064169321,2,4,Check-Out,2022-01-12,31.2610402497876,121.49229883687627,2022-02-08,1,1,0,8,0.375,3,1,six_months,288.53454791817074,0.3762949955224219,False,False,True,False,False,False,False,False,True,1,winter,False,False,False,True,1,868.5928513354568
City Hotel,0,331,2023,March,3,45,11,2,2,4,2,0,HB,USA,Groups,Direct,0,1,2,F,F,0,Refundable,8.0,5.0,19,Transient,298.03860650324805,1,3,Check-Out,2022-07-25,31.17223475708389,121.57563524743703,2023-03-11,5,1,1,4,0.5,6,1,six_months,272.9333938998365,1.0919829275732558,False,False,True,False,False,False,True,False,False,0,spring,False,True,False,False,0,1192.1544260129922
City Hotel,0,251,2022,April,4,44,16,0,14,3,3,1,BB,FRA,Offline TA,Corporate,0,2,4,G,C,1,No Deposit,19.0,5.0,21,Transient,92.46700495266955,2,1,Check-Out,2023-04-28,31.181123772822563,121.5916861686239,2022-04-16,5,2,1,14,0.0,7,1,six_months,276.53648823434116,0.33437542200330406,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,1294.5380693373738
Resort Hotel,0,173,2023,June,6,44,5,3,14,3,2,1,FB,ESP,Online TA,TA/TO,0,2,2,E,G,0,No Deposit,19.0,5.0,23,Transient,318.42928251990713,2,2,Check-Out,2023-12-15,31.29458274813415,121.5189181633294,2023-06-05,0,2,0,17,0.17647058823529413,6,1,three_months,268.8770278595702,1.1842933740186135,False,False,True,False,False,False,False,False,True,0,summer,False,False,True,False,1,5413.297802838421
Resort Hotel,0,295,2023,October,10,13,30,0,1,4,0,1,SC,DEU,Corporate,Direct,0,0,4,B,G,3,No Deposit,18.0,5.0,8,Contract,413.0422525524788,2,4,Check-Out,2022-10-08,31.101065619098108,121.55566658382033,2023-10-30,0,4,0,1,0.0,5,1,six_months,281.86645522625616,1.465382789948974,True,False,False,False,True,False,False,False,False,0,autumn,True,False,False,False,0,413.0422525524788
City Hotel,0,317,2023,April,4,16,4,3,10,3,1,1,BB,GBR,Offline TA,TA/TO,0,0,0,A,A,2,No Deposit,8.0,5.0,19,Transient,424.5050500001198,1,3,Check-Out,2022-11-07,31.213445287460644,121.48951859392923,2023-04-04,1,2,0,13,0.23076923076923078,5,1,six_months,276.53648823434116,1.5350778940983292,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,5518.5656500015575
Resort Hotel,0,3,2022,September,9,20,16,3,12,4,0,0,HB,ESP,Offline TA,Corporate,0,2,0,H,H,2,No Deposit,17.0,3.0,19,Transient,139.82570566017012,2,2,Check-Out,2022-08-10,31.29768877084866,121.59787293853674,2022-09-16,4,3,0,15,0.2,4,0,last_minute,274.8028019539465,0.5088219794920545,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,2097.3855849025517
Resort Hotel,0,353,2022,October,10,17,29,1,0,2,2,1,BB,USA,Groups,Direct,0,0,3,F,F,4,No Deposit,16.0,5.0,14,Contract,182.86132491468837,2,2,Check-Out,2022-02-02,31.28361386779282,121.47029698933856,2022-10-29,5,4,1,1,1.0,5,1,six_months,281.86645522625616,0.6487516393815089,True,False,False,False,False,False,True,False,False,0,autumn,True,False,False,False,0,182.86132491468837
City Hotel,0,170,2023,September,9,16,20,2,7,1,2,0,HB,DEU,Corporate,TA/TO,0,1,4,C,H,0,No Deposit,13.0,5.0,9,Transient,394.3421662317908,0,3,Check-Out,2022-01-18,31.17672566431923,121.4459079879196,2023-09-20,2,3,0,9,0.2222222222222222,3,1,three_months,273.82474692349155,1.4401261049717053,False,False,True,False,True,False,False,False,False,0,autumn,True,False,False,False,0,3549.0794960861176
City Hotel,0,261,2022,September,9,6,7,3,11,2,2,0,BB,DEU,Groups,TA/TO,0,2,3,F,C,3,No Deposit,1.0,5.0,21,Transient,434.7048901868097,2,0,Check-Out,2023-07-08,31.246992744118376,121.50341905878015,2022-09-07,2,3,0,14,0.21428571428571427,4,1,six_months,273.82474692349155,1.5875295971998802,False,False,True,False,False,False,True,False,False,0,autumn,True,False,False,False,0,6085.868462615335
Resort Hotel,0,129,2023,March,3,33,13,0,13,2,2,0,SC,ESP,Direct,Corporate,0,1,0,C,E,2,No Deposit,6.0,5.0,26,Transient,401.0904955804425,1,2,Check-Out,2022-03-05,31.259033931601472,121.55180858359476,2023-03-13,0,1,0,13,0.0,4,1,three_months,295.855907985199,1.355695406969896,False,False,True,False,False,True,False,False,False,0,spring,False,True,False,False,0,5214.176442545752
City Hotel,0,58,2023,September,9,51,29,4,13,2,1,1,BB,ITA,Corporate,TA/TO,0,1,1,C,D,2,No Deposit,2.0,5.0,20,Transient,444.8687941064033,2,4,Check-Out,2023-03-31,31.261387122133065,121.49905069988174,2023-09-29,4,3,0,17,0.23529411764705882,4,1,one_month,273.82474692349155,1.6246478782675644,False,False,True,False,True,False,False,False,False,0,autumn,True,False,False,False,0,7562.769499808856
Resort Hotel,0,143,2023,November,11,21,24,3,13,1,3,0,HB,USA,Offline TA,Corporate,0,0,4,C,H,1,No Deposit,15.0,5.0,17,Transient,334.7751909991725,0,1,Check-Out,2022-06-13,31.24519211215539,121.50485026515754,2023-11-24,4,4,0,16,0.1875,4,1,three_months,291.7169324824849,1.1476028770433917,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,5356.40305598676
City Hotel,0,23,2022,April,4,24,11,0,13,4,1,0,HB,CHN,Groups,Corporate,0,1,2,D,D,4,No Deposit,13.0,5.0,0,Contract,326.7613058605855,2,1,Check-Out,2022-06-11,31.17873687891364,121.58582466957292,2022-04-11,0,2,0,13,0.0,5,1,one_week,276.53648823434116,1.1816209424908986,True,False,False,False,False,False,True,False,False,0,spring,False,True,False,False,0,4247.8969761876115
City Hotel,1,59,2023,January,1,29,14,4,10,3,0,0,HB,PRT,Direct,Corporate,0,0,1,B,F,3,No Deposit,8.0,5.0,4,Transient-Party,304.1177274492936,2,4,Canceled,2022-03-06,31.22289129771403,121.46039788284352,2023-01-14,5,1,1,14,0.2857142857142857,3,0,one_month,269.8322521451995,1.127062184121877,False,False,False,True,False,True,False,False,False,0,winter,False,False,False,True,1,4257.64818429011
City Hotel,0,350,2022,January,1,20,18,3,11,2,3,1,HB,GBR,Corporate,TA/TO,0,2,2,D,E,1,Refundable,13.0,5.0,13,Transient,130.49528079656736,0,3,Check-Out,2023-05-02,31.24753989367899,121.4826538927407,2022-01-18,1,1,0,14,0.21428571428571427,6,1,six_months,269.8322521451995,0.48361631998811805,False,False,True,False,True,False,False,False,False,0,winter,False,False,False,True,1,1826.933931151943
City Hotel,0,105,2022,June,6,13,16,4,11,3,3,1,FB,FRA,Online TA,TA/TO,0,1,3,D,D,1,No Deposit,11.0,10.0,1,Transient-Party,69.60109477389874,1,3,No-Show,2022-04-01,31.119630861314096,121.41897865804148,2022-06-16,3,2,0,15,0.26666666666666666,7,1,three_months,278.5631512174122,0.24985750796442083,False,False,False,True,False,False,False,False,True,0,summer,False,False,True,False,1,1044.016421608481
City Hotel,1,60,2022,January,1,49,29,2,12,3,0,0,BB,ESP,Online TA,Direct,0,0,4,C,B,2,No Deposit,16.0,5.0,21,Transient,81.21300931996664,2,4,Canceled,2023-08-27,31.19638843995888,121.58891352929454,2022-01-29,5,1,1,14,0.14285714285714285,3,0,one_month,269.8322521451995,0.30097591623800807,False,False,True,False,False,False,False,False,True,0,winter,False,False,False,True,1,1136.982130479533
City Hotel,0,38,2022,August,8,35,10,3,1,3,1,0,FB,FRA,Direct,Corporate,0,0,2,C,D,2,Refundable,19.0,5.0,25,Transient,249.60445192794347,1,0,Check-Out,2023-12-27,31.15666317059615,121.56914270001778,2022-08-10,2,3,0,4,0.75,4,1,one_month,272.03898069668134,0.9175319334336428,False,False,True,False,False,True,False,False,False,0,summer,False,False,True,False,1,998.4178077117739
Resort Hotel,0,237,2023,November,11,30,7,1,5,3,0,0,FB,PRT,Online TA,Direct,0,1,4,F,F,0,No Deposit,15.0,5.0,11,Transient-Party,438.9699678582863,1,3,Check-Out,2022-06-17,31.29330285237829,121.43297865608712,2023-11-07,1,4,0,6,0.16666666666666666,3,0,six_months,291.7169324824849,1.504780556009181,False,False,False,True,False,False,False,False,True,0,autumn,True,False,False,False,0,2633.8198071497177
City Hotel,0,130,2022,April,4,21,10,1,2,2,2,0,SC,ESP,Corporate,TA/TO,0,0,3,H,B,2,Refundable,9.0,5.0,5,Transient-Party,137.6141440493109,2,0,Check-Out,2023-06-25,31.189757967825035,121.47372750811728,2022-04-10,6,2,1,3,0.3333333333333333,4,1,three_months,276.53648823434116,0.4976346699416195,False,False,False,True,True,False,False,False,False,0,spring,False,True,False,False,0,412.84243214793275
Resort Hotel,0,164,2023,December,12,8,10,3,5,1,0,0,BB,ITA,Offline TA,Direct,0,0,1,F,D,3,No Deposit,11.0,5.0,17,Transient,454.9777337148784,2,4,Check-Out,2023-12-18,31.10831673142081,121.56760186381504,2023-12-10,6,4,1,8,0.375,1,0,three_months,281.1258555305912,1.618412980393293,False,False,True,False,False,False,False,True,False,0,winter,False,False,False,True,1,3639.8218697190273
Resort Hotel,1,17,2023,November,11,10,7,4,3,2,3,0,SC,FRA,Online TA,Direct,0,2,0,G,F,0,No Deposit,6.0,5.0,28,Transient,285.6530406473588,1,0,Canceled,2022-08-07,31.16746471285711,121.58648802278763,2023-11-07,1,4,0,7,0.5714285714285714,5,1,one_week,291.7169324824849,0.9792130961219052,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,1999.5712845315115
City Hotel,0,311,2023,October,10,50,6,3,9,3,0,0,BB,PRT,Online TA,TA/TO,0,0,4,A,C,4,Refundable,3.0,5.0,12,Transient,402.81820486466216,0,1,Check-Out,2022-04-15,31.18492959541036,121.58499412589494,2023-10-06,4,4,0,12,0.25,3,0,six_months,289.2942120238467,1.3924170900158128,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,4833.818458375946
Resort Hotel,0,64,2022,May,5,43,10,4,1,2,1,1,FB,FRA,Corporate,Corporate,0,0,2,F,E,1,Refundable,16.0,5.0,23,Transient,495.50293297323645,2,2,Check-Out,2022-05-14,31.16022059320756,121.40977741050784,2022-05-10,1,2,0,5,0.8,4,1,one_month,271.9629902531011,1.8219498635167193,False,False,True,False,True,False,False,False,False,0,spring,False,True,False,False,0,2477.514664866182
City Hotel,0,189,2023,November,11,14,2,1,7,1,1,0,FB,GBR,Groups,TA/TO,0,0,1,H,B,4,No Deposit,17.0,5.0,26,Transient,446.78394992716073,2,1,Check-Out,2022-10-20,31.11584990482261,121.4848160119835,2023-11-02,3,4,0,8,0.125,2,1,six_months,259.72367910568494,1.7202280187374004,False,False,True,False,False,False,True,False,False,0,autumn,True,False,False,False,0,3574.271599417286
City Hotel,1,54,2022,July,7,13,19,3,10,3,2,1,HB,PRT,Corporate,TA/TO,0,0,3,E,D,2,No Deposit,3.0,5.0,7,Transient,449.0861483241103,2,2,Canceled,2023-05-25,31.227064815547696,121.52826303487814,2022-07-19,1,3,0,13,0.23076923076923078,6,1,one_month,274.8043908521611,1.6342029577166004,False,False,True,False,True,False,False,False,False,0,summer,False,False,True,False,1,5838.119928213434
City Hotel,0,92,2023,January,1,20,27,0,12,4,1,1,FB,PRT,Direct,TA/TO,0,1,2,G,E,0,Refundable,18.0,5.0,5,Transient,159.99631850457845,1,2,Check-Out,2022-07-16,31.25093778420588,121.47399218005133,2023-01-27,4,1,0,12,0.0,6,1,three_months,269.8322521451995,0.5929473487049384,False,False,True,False,False,True,False,False,False,0,winter,False,False,False,True,1,1919.9558220549416
City Hotel,0,218,2023,June,6,23,30,3,1,3,2,0,HB,PRT,Offline TA,Direct,0,2,2,F,H,1,No Deposit,14.0,5.0,17,Transient,377.1432360236234,1,2,Check-Out,2022-12-26,31.173520622572312,121.49828570672288,2023-06-30,4,2,0,4,0.75,5,1,six_months,278.5631512174122,1.3538877427807086,False,False,True,False,False,False,False,True,False,0,summer,False,False,True,False,1,1508.5729440944936
Resort Hotel,0,162,2022,May,5,51,14,1,3,1,3,0,FB,CHN,Direct,Corporate,0,0,1,F,B,1,Non Refund,11.0,5.0,9,Transient,274.8421780882493,1,3,Check-Out,2023-09-26,31.15342608316355,121.5380852141057,2022-05-14,5,2,1,4,0.25,4,1,three_months,271.9629902531011,1.0105866898744886,False,False,True,False,False,True,False,False,False,0,spring,False,True,False,False,0,1099.3687123529971
City Hotel,0,29,2022,February,2,30,26,2,12,2,0,0,HB,USA,Direct,Corporate,0,2,4,C,B,2,No Deposit,5.0,5.0,12,Group,106.20908480649246,1,2,Check-Out,2022-06-11,31.2038976223716,121.41629899751976,2022-02-26,5,1,1,14,0.14285714285714285,2,0,one_week,292.99685199897476,0.36249223867724045,False,True,False,False,False,True,False,False,False,0,winter,False,False,False,True,1,1486.9271872908944
City Hotel,0,329,2023,August,8,37,18,4,6,1,0,0,FB,CHN,Groups,Corporate,0,0,0,F,D,4,No Deposit,16.0,5.0,14,Transient,109.60436780517406,1,3,Check-Out,2023-03-26,31.21107910383453,121.46758394161816,2023-08-18,4,3,0,10,0.4,1,0,six_months,272.03898069668134,0.40289949449333146,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,1096.0436780517407
Resort Hotel,1,45,2023,January,1,22,8,3,3,4,2,1,BB,USA,Online TA,TA/TO,0,1,1,F,D,4,No Deposit,6.0,5.0,14,Transient,232.6723123109097,0,0,Canceled,2022-11-13,31.106724313961863,121.43866066696556,2023-01-08,6,1,1,6,0.5,7,1,one_month,279.1492093590357,0.8335051811364852,False,False,True,False,False,False,False,False,True,0,winter,False,False,False,True,1,1396.0338738654582
City Hotel,0,324,2022,August,8,23,29,3,4,3,0,0,FB,PRT,Groups,Corporate,0,2,2,F,B,0,No Deposit,11.0,1.0,24,Transient,474.10290534288174,1,3,Check-Out,2023-07-07,31.227448961077247,121.50175659591848,2022-08-29,0,3,0,7,0.42857142857142855,3,0,six_months,272.03898069668134,1.742775627701304,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,3318.720337400172
City Hotel,0,132,2023,May,5,50,30,0,13,2,1,0,HB,DEU,Offline TA,Corporate,0,1,2,E,C,0,No Deposit,16.0,5.0,17,Transient,450.1288200580345,2,4,Check-Out,2023-07-06,31.14517608296594,121.51573174958038,2023-05-30,1,2,0,13,0.0,3,1,three_months,280.51644474451695,1.6046432517280533,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,5851.674660754448
Resort Hotel,0,343,2022,January,1,45,8,1,12,2,1,0,SC,ESP,Corporate,Corporate,0,1,1,B,F,4,No Deposit,9.0,5.0,14,Transient-Party,362.0588793761157,0,3,Check-Out,2022-10-27,31.18865270419878,121.50061197001324,2022-01-08,5,1,1,13,0.07692307692307693,3,1,six_months,279.1492093590357,1.2970084357661333,False,False,False,True,True,False,False,False,False,0,winter,False,False,False,True,1,4706.765431889505
City Hotel,0,185,2023,May,5,39,23,1,2,2,1,1,BB,ITA,Offline TA,Corporate,0,1,1,C,A,4,No Deposit,18.0,5.0,3,Transient,407.67331976349726,0,3,Check-Out,2022-02-10,31.15041000575995,121.52510205134996,2023-05-23,1,2,0,3,0.3333333333333333,4,1,six_months,280.51644474451695,1.4532956174273122,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,1223.019959290492
City Hotel,0,364,2022,April,4,49,29,3,3,3,1,1,SC,GBR,Offline TA,Direct,1,2,3,F,G,2,Non Refund,6.0,5.0,14,Transient,203.02664736401704,1,0,Check-Out,2023-08-06,31.27671570887648,121.41334601494118,2022-04-29,4,2,0,6,0.5,5,1,six_months,276.53648823434116,0.7341767036253429,False,False,True,False,False,False,False,True,False,1,spring,False,True,False,False,0,1218.1598841841023
Resort Hotel,0,162,2022,January,1,15,22,2,14,2,3,0,SC,PRT,Corporate,Corporate,0,0,4,H,B,2,Refundable,3.0,4.0,20,Transient,345.54858459830933,2,1,Check-Out,2022-07-29,31.212781428304428,121.5388978749678,2022-01-22,5,1,1,16,0.125,5,1,three_months,279.1492093590357,1.2378633827827619,False,False,True,False,True,False,False,False,False,0,winter,False,False,False,True,1,5528.777353572949
City Hotel,1,287,2023,October,10,40,25,4,7,2,0,0,BB,GBR,Groups,Direct,0,2,0,H,F,1,No Deposit,12.0,5.0,1,Transient,384.7461705735757,1,0,Canceled,2023-09-10,31.11300124531462,121.56325664050266,2023-10-25,2,4,0,11,0.36363636363636365,2,0,six_months,289.2942120238467,1.3299476953996605,False,False,True,False,False,False,True,False,False,0,autumn,True,False,False,False,0,4232.207876309332
City Hotel,1,80,2023,July,7,33,9,0,3,4,2,0,HB,GBR,Direct,TA/TO,0,0,4,H,H,2,No Deposit,15.0,5.0,17,Transient,379.38798995783736,0,1,Canceled,2022-10-11,31.109258008889267,121.56632935950128,2023-07-09,6,3,1,3,0.0,6,1,one_month,274.8043908521611,1.3805747018137713,False,False,True,False,False,True,False,False,False,0,summer,False,False,True,False,1,1138.163969873512
