hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude,arrival_date,arrival_dayofweek,arrival_quarter,arrival_is_weekend,total_nights,weekend_ratio,total_guests,has_children
Resort Hotel,0,31,2023,December,12,50,5,4,4,3,3,1,HB,CHN,Online TA,Corporate,0,0,2,B,B,4,Non Refund,11.0,1.0,17,Transient,428.453483803876,2,1,Check-Out,2022-03-04,31.26768698551288,121.463284201955,2023-12-05,1,4,0,8,0.5,7,1
City Hotel,0,335,2022,January,1,8,21,2,3,4,0,1,HB,USA,Online TA,Direct,0,2,4,D,G,1,Non Refund,20.0,5.0,23,Transient-Party,131.0354310727625,1,1,Check-Out,2023-02-19,31.123675559552986,121.4108122029024,2022-01-21,4,1,0,5,0.4,5,1
City Hotel,1,137,2023,February,2,2,3,1,9,2,0,1,FB,GBR,Direct,Direct,0,1,1,G,H,3,Refundable,11.0,5.0,1,Transient,385.3373473332212,0,2,Canceled,2023-04-16,31.19133584355695,121.4872825139804,2023-02-03,4,1,0,10,0.1,3,1
Resort Hotel,1,266,2022,April,4,37,3,2,2,1,1,0,HB,USA,Offline TA,Direct,0,0,0,C,A,0,Non Refund,12.0,5.0,21,Contract,389.4998322223452,1,0,Canceled,2023-07-15,31.16013447569001,121.59342068954584,2022-04-03,6,2,1,4,0.5,2,1
City Hotel,1,361,2023,July,7,51,21,2,10,3,2,1,FB,CHN,Offline TA,Direct,0,1,3,F,F,0,No Deposit,7.0,5.0,14,Transient,485.3746687965351,0,2,Canceled,2023-11-19,31.214119294258005,121.48372372671308,2023-07-21,4,3,0,12,0.16666666666666666,6,1
Resort Hotel,0,42,2023,February,2,25,12,2,6,2,1,0,FB,PRT,Corporate,TA/TO,1,1,0,C,B,0,No Deposit,19.0,5.0,13,Transient,447.5777906973124,1,1,Check-Out,2022-03-24,31.28354783695813,121.51647072848812,2023-02-12,6,1,1,8,0.25,3,1
City Hotel,0,248,2023,November,11,29,17,4,3,3,3,1,BB,FRA,Online TA,TA/TO,0,2,4,F,E,0,No Deposit,13.0,5.0,2,Transient,95.63405976989318,2,2,Check-Out,2022-02-17,31.125220818539017,121.58094284923472,2023-11-17,4,4,0,7,0.5714285714285714,7,1
City Hotel,0,85,2023,March,3,22,5,3,7,4,1,0,SC,GBR,Offline TA,Corporate,0,2,2,E,H,0,No Deposit,7.0,5.0,17,Transient,285.81301430628986,0,4,Check-Out,2023-08-23,31.12602428878375,121.4215775009811,2023-03-05,6,1,1,10,0.3,5,1
Resort Hotel,0,219,2022,October,10,3,10,0,2,3,2,0,SC,CHN,Corporate,Direct,0,0,0,A,G,0,No Deposit,13.0,5.0,10,Transient-Party,258.5438616907615,1,2,Check-Out,2022-09-09,31.1966030440101,121.4735875866792,2022-10-10,0,4,0,2,0.0,5,1
Resort Hotel,1,49,2023,November,11,21,14,3,6,1,0,0,HB,CHN,Offline TA,Direct,0,0,3,B,B,3,No Deposit,8.0,5.0,22,Transient,399.4300735378977,1,3,Canceled,2022-10-13,31.18228115896077,121.46746612556495,2023-11-14,1,4,0,9,0.3333333333333333,1,0
Resort Hotel,1,123,2023,January,1,44,19,1,2,2,2,0,FB,PRT,Corporate,Corporate,0,1,2,F,G,4,Refundable,9.0,10.0,17,Transient,280.7901302167328,1,2,Canceled,2023-10-28,31.216126572234224,121.51836724181658,2023-01-19,3,1,0,3,0.3333333333333333,4,1
City Hotel,0,160,2022,March,3,40,12,1,4,3,2,1,SC,USA,Corporate,TA/TO,0,0,0,A,B,1,No Deposit,2.0,5.0,26,Transient,271.3348321123595,0,4,Check-Out,2022-09-13,31.269349242042374,121.56491514870754,2022-03-12,5,1,1,5,0.2,6,1
Resort Hotel,1,126,2023,November,11,39,13,4,12,2,1,0,SC,ESP,Groups,Direct,0,2,0,F,E,0,Non Refund,20.0,5.0,13,Transient-Party,299.3729640776265,1,2,Canceled,2022-04-18,31.18590519481201,121.42516733666491,2023-11-13,0,4,0,16,0.25,3,1
City Hotel,0,241,2023,November,11,6,10,4,2,3,2,1,BB,ITA,Direct,TA/TO,0,1,3,D,H,2,No Deposit,11.0,5.0,12,Transient-Party,444.81168381415233,1,1,Check-Out,2023-01-14,31.15612715262591,121.4097232264709,2023-11-10,4,4,0,6,0.6666666666666666,6,1
Resort Hotel,0,127,2023,January,1,28,20,4,10,1,1,0,FB,ESP,Corporate,Corporate,0,1,0,D,A,0,No Deposit,8.0,5.0,11,Group,146.69827520063703,2,2,Check-Out,2022-07-28,31.114564035555528,121.40698809403122,2023-01-20,4,1,0,14,0.2857142857142857,2,1
Resort Hotel,1,228,2022,May,5,26,19,0,1,3,1,1,FB,PRT,Direct,Corporate,0,1,1,D,C,1,No Deposit,2.0,5.0,0,Transient,309.31418772784696,0,1,Canceled,2022-03-25,31.2962785656355,121.4579935902794,2022-05-19,3,2,0,1,0.0,5,1
Resort Hotel,1,126,2023,July,7,32,8,0,1,2,2,1,SC,ESP,Corporate,Direct,0,2,3,C,E,0,No Deposit,15.0,5.0,16,Transient,460.31263507959005,1,1,Canceled,2023-03-05,31.208235366974236,121.57532531728872,2023-07-08,5,3,1,1,0.0,5,1
City Hotel,0,252,2023,October,10,44,10,4,6,2,2,1,FB,DEU,Groups,Direct,0,0,2,A,D,2,No Deposit,12.0,5.0,3,Transient,411.36038989964703,2,2,Check-Out,2022-05-11,31.246008236677717,121.52758204209836,2023-10-10,1,4,0,10,0.4,5,1
Resort Hotel,1,158,2023,February,2,31,22,1,4,3,1,1,BB,FRA,Groups,Direct,0,2,1,E,E,1,No Deposit,6.0,5.0,18,Contract,261.2874213405971,2,0,Canceled,2022-03-29,31.21458126969389,121.40991071127044,2023-02-22,2,1,0,5,0.2,5,1
City Hotel,0,145,2022,December,12,33,19,2,0,2,0,0,FB,USA,Offline TA,Corporate,0,2,0,E,C,1,No Deposit,6.0,5.0,4,Transient-Party,279.44361111069907,0,3,No-Show,2023-12-25,31.163703398666566,121.48136886102904,2022-12-19,0,4,0,2,1.0,2,0
Resort Hotel,0,61,2022,May,5,2,19,3,1,3,1,1,HB,FRA,Corporate,TA/TO,1,0,3,H,C,3,No Deposit,20.0,10.0,20,Transient,473.4371982471961,2,3,Check-Out,2023-07-03,31.12079494271325,121.40044997373867,2022-05-19,3,2,0,4,0.75,5,1
Resort Hotel,0,268,2023,April,4,41,15,3,14,1,2,0,FB,PRT,Corporate,Corporate,0,1,0,F,D,4,No Deposit,1.0,5.0,8,Group,338.4651605284465,0,3,Check-Out,2022-07-26,31.22448181986363,121.486730748802,2023-04-15,5,2,1,17,0.17647058823529413,3,1
City Hotel,1,201,2023,July,7,7,13,3,11,4,2,0,SC,CHN,Corporate,Direct,0,2,2,F,H,1,No Deposit,16.0,5.0,3,Transient,479.1391066298516,1,3,Canceled,2022-06-25,31.17155833844661,121.55159863024294,2023-07-13,3,3,0,14,0.21428571428571427,6,1
City Hotel,1,201,2022,February,2,5,30,0,0,4,3,1,SC,USA,Offline TA,TA/TO,0,1,1,G,B,2,No Deposit,13.0,1.0,17,Transient-Party,280.8176617731035,1,1,Canceled,2023-06-13,31.10418430735702,121.45530074762134,2022-02-01,1,1,0,0,0.0,8,1
City Hotel,0,16,2022,July,7,47,22,1,1,4,2,1,BB,FRA,Direct,TA/TO,0,2,2,B,A,4,Refundable,6.0,5.0,6,Transient,209.93175871402048,2,4,Check-Out,2023-04-20,31.26567421719218,121.42647882449415,2022-07-22,4,3,0,2,0.5,7,1
Resort Hotel,1,112,2023,July,7,36,17,4,4,1,2,0,SC,USA,Online TA,Direct,0,0,4,C,E,0,No Deposit,15.0,5.0,1,Transient,368.4951135422807,1,4,Canceled,2022-05-06,31.264644804512464,121.46650549262576,2023-07-17,0,3,0,8,0.5,3,1
City Hotel,0,97,2023,December,12,36,11,2,12,4,3,0,SC,CHN,Online TA,Corporate,0,0,0,D,E,2,No Deposit,15.0,4.0,13,Transient,234.32072161615213,2,2,Check-Out,2023-09-16,31.18324149938696,121.4803507540348,2023-12-11,0,4,0,14,0.14285714285714285,7,1
Resort Hotel,0,240,2022,February,2,20,1,3,10,3,0,1,BB,USA,Groups,Corporate,0,0,1,G,G,0,No Deposit,5.0,5.0,29,Transient,485.4515409875062,0,1,Check-Out,2022-12-30,31.17583898008463,121.47526578100862,2022-02-01,1,1,0,13,0.23076923076923078,4,1
City Hotel,0,161,2022,December,12,4,15,0,11,1,0,1,FB,USA,Online TA,TA/TO,0,0,1,F,D,3,Non Refund,12.0,5.0,17,Transient,468.0766714070368,0,0,Check-Out,2022-03-08,31.151179421843352,121.46288507275092,2022-12-15,3,4,0,11,0.0,2,1
City Hotel,1,42,2022,July,7,11,21,2,2,2,2,0,SC,FRA,Corporate,TA/TO,0,1,2,F,A,3,No Deposit,3.0,8.0,0,Transient,353.5005631321084,2,0,Canceled,2022-10-17,31.15412865445922,121.43664311772297,2022-07-21,3,3,0,4,0.5,4,1
Resort Hotel,0,44,2022,June,6,1,30,2,0,2,2,1,BB,USA,Groups,Corporate,0,1,2,A,D,1,No Deposit,3.0,5.0,26,Group,264.3477527261359,2,4,Check-Out,2022-06-30,31.109252661961524,121.57547234237504,2022-06-30,3,2,0,2,1.0,5,1
Resort Hotel,0,192,2022,December,12,40,13,3,4,4,1,0,BB,ITA,Groups,TA/TO,0,2,3,E,G,3,Refundable,4.0,10.0,10,Transient,478.7345199057975,0,1,Check-Out,2022-10-12,31.29823262529847,121.4832257742514,2022-12-13,1,4,0,7,0.42857142857142855,5,1
Resort Hotel,1,343,2022,April,4,42,26,3,11,4,1,0,FB,ITA,Offline TA,TA/TO,0,0,1,H,E,0,Refundable,3.0,5.0,9,Contract,396.0858563284437,0,4,Canceled,2022-08-20,31.180659862612107,121.53064983911878,2022-04-26,1,2,0,14,0.21428571428571427,5,1
Resort Hotel,0,65,2023,March,3,39,24,3,3,3,0,0,BB,ITA,Online TA,TA/TO,0,1,1,A,B,4,Non Refund,7.0,3.0,29,Transient,288.31031425828337,0,0,Check-Out,2023-05-08,31.26235222881013,121.51130018585084,2023-03-24,4,1,0,6,0.5,3,0
Resort Hotel,0,257,2023,July,7,20,10,2,12,4,0,0,FB,PRT,Direct,Direct,0,0,4,A,G,1,No Deposit,16.0,5.0,21,Transient,316.9550729142781,2,3,Check-Out,2023-11-20,31.133181704127917,121.41109289092816,2023-07-10,0,3,0,14,0.14285714285714285,4,0
City Hotel,0,260,2022,November,11,49,30,0,13,1,1,0,HB,GBR,Groups,Direct,1,0,0,H,G,2,No Deposit,11.0,5.0,4,Group,283.7634045942381,1,3,Check-Out,2022-11-17,31.167636476995057,121.56054864169803,2022-11-30,2,4,0,13,0.0,2,1
Resort Hotel,1,109,2022,August,8,14,28,4,0,1,3,0,SC,ITA,Direct,Direct,0,2,2,E,A,1,Refundable,20.0,5.0,23,Transient,229.78349122466716,1,0,Canceled,2023-11-04,31.24632774362922,121.4395714748605,2022-08-28,6,3,1,4,1.0,4,1
Resort Hotel,0,36,2023,October,10,3,1,1,3,2,2,0,BB,GBR,Direct,Corporate,0,2,2,D,B,3,No Deposit,18.0,5.0,16,Transient,178.76398312211265,0,3,Check-Out,2023-01-12,31.265713414268696,121.59680010700365,2023-10-01,6,4,1,4,0.25,4,1
City Hotel,1,122,2022,May,5,13,16,3,12,2,1,1,SC,DEU,Direct,Corporate,0,0,1,H,B,1,No Deposit,20.0,5.0,16,Contract,248.04699230508243,2,2,Canceled,2022-09-11,31.235258605791014,121.54880411209234,2022-05-16,0,2,0,15,0.2,4,1
City Hotel,0,269,2023,May,5,25,2,2,2,2,0,1,FB,DEU,Corporate,Corporate,0,2,2,C,D,0,No Deposit,8.0,5.0,28,Transient,347.09761796252815,0,3,Check-Out,2023-09-06,31.189272036451296,121.47958033174946,2023-05-02,1,2,0,4,0.5,3,1
City Hotel,0,323,2022,June,6,14,27,1,14,1,3,1,SC,FRA,Offline TA,Direct,0,0,4,B,A,0,No Deposit,9.0,5.0,27,Transient,120.99683983672834,1,4,Check-Out,2023-03-31,31.28920430492438,121.51392087200392,2022-06-27,0,2,0,15,0.06666666666666667,5,1
City Hotel,1,137,2022,February,2,1,18,0,12,2,2,0,HB,ITA,Offline TA,Direct,0,2,3,C,C,2,No Deposit,2.0,5.0,10,Transient,445.0227618688241,2,0,Canceled,2022-07-18,31.16434245360749,121.54423476412175,2022-02-18,4,1,0,12,0.0,4,1
City Hotel,0,142,2022,November,11,37,12,0,1,2,3,1,FB,ESP,Offline TA,Direct,0,0,4,D,A,2,Refundable,19.0,5.0,24,Transient-Party,152.85102774645327,1,1,Check-Out,2022-10-02,31.10488137465669,121.54679369319544,2022-11-12,5,4,1,1,0.0,6,1
Resort Hotel,0,291,2023,December,12,14,5,1,11,2,2,0,BB,GBR,Direct,TA/TO,0,0,0,F,C,4,No Deposit,11.0,5.0,15,Transient,381.29614566212047,0,0,Check-Out,2023-06-30,31.15136252229666,121.52551791785052,2023-12-05,1,4,0,12,0.08333333333333333,4,1
Resort Hotel,0,29,2023,September,9,12,7,0,4,1,2,0,BB,ITA,Offline TA,Corporate,0,0,1,B,G,2,No Deposit,15.0,7.0,24,Transient,130.71495446252283,1,3,Check-Out,2023-10-22,31.224176817564192,121.55387631405164,2023-09-07,3,3,0,4,0.0,3,1
City Hotel,0,87,2023,February,2,10,13,1,10,3,1,1,FB,GBR,Corporate,Corporate,0,2,0,C,F,1,No Deposit,5.0,5.0,8,Transient-Party,83.99645281319233,0,4,Check-Out,2023-01-20,31.26150801625352,121.46897796602536,2023-02-13,0,1,0,11,0.09090909090909091,5,1
City Hotel,1,31,2022,July,7,16,7,4,14,1,3,0,HB,USA,Direct,TA/TO,0,0,2,C,G,4,Refundable,1.0,5.0,2,Transient,147.05811418824442,0,3,Canceled,2023-01-12,31.271030407370645,121.54418137472742,2022-07-07,3,3,0,18,0.2222222222222222,4,1
City Hotel,1,7,2022,November,11,26,16,1,8,1,1,0,BB,GBR,Offline TA,Direct,0,2,3,F,C,2,No Deposit,7.0,5.0,29,Transient-Party,439.44859490963415,2,2,Canceled,2023-05-14,31.28331798637195,121.4989514632386,2022-11-16,2,4,0,9,0.1111111111111111,2,1
Resort Hotel,1,38,2022,February,2,25,20,0,1,1,1,0,HB,FRA,Corporate,Direct,0,1,4,G,A,1,Refundable,9.0,5.0,3,Transient-Party,441.5410047401343,0,2,Canceled,2022-11-09,31.295417033949608,121.49724740523612,2022-02-20,6,1,1,1,0.0,2,1
City Hotel,1,61,2022,November,11,16,17,1,2,1,2,1,BB,ESP,Corporate,Corporate,0,0,0,D,F,1,No Deposit,13.0,5.0,29,Transient,193.25231774773565,1,3,Canceled,2023-08-17,31.236521866979707,121.42573833704812,2022-11-17,3,4,0,3,0.3333333333333333,4,1
City Hotel,1,252,2022,September,9,47,11,1,11,1,1,0,BB,ITA,Direct,TA/TO,0,1,4,D,F,0,No Deposit,3.0,5.0,21,Transient-Party,127.05977706390976,2,1,Canceled,2023-07-06,31.153446921461608,121.48402969260638,2022-09-11,6,3,1,12,0.08333333333333333,2,1
Resort Hotel,0,287,2023,January,1,19,13,2,2,1,2,0,HB,GBR,Online TA,TA/TO,0,1,1,E,C,4,No Deposit,6.0,5.0,14,Transient,441.8009750621733,1,4,Check-Out,2023-12-31,31.170602505343467,121.41009070575672,2023-01-13,4,1,0,4,0.5,3,1
Resort Hotel,1,95,2022,August,8,31,1,1,2,2,1,1,HB,CHN,Offline TA,Corporate,0,1,3,H,H,2,No Deposit,12.0,5.0,28,Contract,167.543802988587,1,2,Canceled,2022-07-26,31.297022526496505,121.54296584423768,2022-08-01,0,3,0,3,0.3333333333333333,4,1
Resort Hotel,0,239,2022,October,10,25,21,2,14,1,1,0,HB,CHN,Online TA,Corporate,0,0,0,C,H,0,No Deposit,11.0,5.0,6,Transient,199.8510022919082,1,1,Check-Out,2023-05-19,31.20081291121464,121.4864540361322,2022-10-21,4,4,0,16,0.125,2,1
City Hotel,0,158,2022,July,7,30,22,1,10,1,3,0,FB,FRA,Offline TA,Corporate,0,0,0,C,B,1,No Deposit,8.0,5.0,18,Contract,314.80128799949154,2,3,No-Show,2022-01-22,31.25430624411979,121.45686005506278,2022-07-22,4,3,0,11,0.09090909090909091,4,1
City Hotel,0,75,2023,March,3,41,12,4,14,1,3,0,BB,PRT,Offline TA,Direct,0,2,2,G,A,1,No Deposit,9.0,5.0,8,Contract,468.8307654123973,1,0,Check-Out,2023-12-22,31.298972184317503,121.4235683490326,2023-03-12,6,1,1,18,0.2222222222222222,4,1
Resort Hotel,0,349,2022,October,10,21,9,1,13,2,1,0,HB,DEU,Corporate,Direct,0,2,2,C,E,2,No Deposit,20.0,5.0,20,Transient-Party,309.13502779323886,2,2,Check-Out,2022-07-01,31.13095089742521,121.4922967675437,2022-10-09,6,4,1,14,0.07142857142857142,3,1
City Hotel,0,66,2022,December,12,43,29,1,14,3,2,1,BB,GBR,Groups,Direct,0,0,0,G,F,2,No Deposit,9.0,5.0,17,Transient,409.1720752612391,2,3,Check-Out,2022-08-21,31.12879563627068,121.49919293358164,2022-12-29,3,4,0,15,0.06666666666666667,6,1
Resort Hotel,0,71,2022,December,12,40,25,3,14,3,3,1,SC,ESP,Groups,Corporate,0,1,3,D,F,2,No Deposit,7.0,5.0,16,Contract,231.453795913478,1,3,Check-Out,2023-01-01,31.143672952212,121.50921682206788,2022-12-25,6,4,1,17,0.17647058823529413,7,1
City Hotel,0,324,2022,March,3,45,25,3,4,1,0,1,FB,CHN,Offline TA,Direct,0,0,2,G,B,2,No Deposit,1.0,6.0,23,Transient,386.7973138864998,1,2,Check-Out,2022-12-19,31.171440954112043,121.45675878771108,2022-03-25,4,1,0,7,0.42857142857142855,2,1
Resort Hotel,1,101,2022,March,3,35,7,4,5,4,3,0,SC,ESP,Direct,TA/TO,0,1,4,E,H,3,No Deposit,4.0,5.0,6,Transient,207.8754811322493,0,4,Canceled,2022-03-29,31.159365650484517,121.46334253525347,2022-03-07,0,1,0,9,0.4444444444444444,7,1
Resort Hotel,0,351,2022,February,2,11,3,4,12,2,3,1,HB,ESP,Offline TA,Corporate,0,0,1,D,D,0,No Deposit,8.0,5.0,25,Transient,133.73519194678093,0,3,Check-Out,2023-09-10,31.14975162004508,121.58704624833666,2022-02-03,3,1,0,16,0.25,6,1
Resort Hotel,1,116,2023,December,12,38,27,2,0,4,2,0,SC,USA,Corporate,Corporate,0,1,3,F,A,0,No Deposit,9.0,5.0,5,Transient,438.8287933475849,1,1,Canceled,2023-08-15,31.247561146511032,121.44978298546722,2023-12-27,2,4,0,2,1.0,6,1
City Hotel,0,221,2023,April,4,25,4,1,6,3,3,0,BB,CHN,Corporate,Corporate,0,2,3,D,H,4,Refundable,19.0,5.0,20,Transient-Party,487.62321105651336,0,1,Check-Out,2022-02-11,31.15158653311636,121.4303816477402,2023-04-04,1,2,0,7,0.14285714285714285,6,1
City Hotel,0,156,2023,August,8,9,29,2,5,4,3,1,HB,DEU,Groups,Direct,1,1,2,F,C,1,No Deposit,16.0,5.0,7,Transient,268.9874005286479,2,4,Check-Out,2022-11-19,31.232150817989744,121.43940298561634,2023-08-29,1,3,0,7,0.2857142857142857,8,1
Resort Hotel,0,140,2022,March,3,45,27,0,4,3,3,0,SC,GBR,Offline TA,TA/TO,0,2,4,H,C,1,Refundable,16.0,2.0,7,Transient,366.282180240968,2,3,No-Show,2023-12-12,31.12410491071311,121.46239971791066,2022-03-27,6,1,1,4,0.0,6,1
City Hotel,0,207,2023,April,4,29,16,4,10,2,1,1,BB,GBR,Offline TA,TA/TO,0,0,3,A,G,2,No Deposit,20.0,5.0,17,Transient,141.95549237488484,1,1,Check-Out,2022-06-04,31.184484414907622,121.59978435054884,2023-04-16,6,2,1,14,0.2857142857142857,4,1
Resort Hotel,0,197,2022,July,7,43,12,0,7,4,2,1,SC,FRA,Direct,TA/TO,0,0,1,B,B,4,No Deposit,16.0,5.0,24,Transient,423.6208394121708,1,1,Check-Out,2022-03-20,31.20104596340892,121.50917684591386,2022-07-12,1,3,0,7,0.0,7,1
Resort Hotel,0,174,2022,April,4,43,9,0,13,1,1,0,SC,ITA,Groups,Direct,0,1,2,A,G,4,Refundable,11.0,5.0,24,Transient,115.37599713083382,1,3,Check-Out,2022-08-31,31.19000868071837,121.41883622481048,2022-04-09,5,2,1,13,0.0,2,1
City Hotel,0,12,2023,May,5,18,22,2,14,4,3,0,FB,USA,Offline TA,TA/TO,0,2,2,A,G,0,No Deposit,17.0,7.0,6,Transient,159.8353040679409,0,2,Check-Out,2022-05-15,31.126298401052946,121.40326804956324,2023-05-22,0,2,0,16,0.125,7,1
City Hotel,0,341,2023,June,6,24,24,1,0,1,0,1,HB,GBR,Corporate,Corporate,0,2,1,H,A,0,No Deposit,9.0,5.0,23,Transient,492.47580667351417,0,4,Check-Out,2023-05-02,31.25185250221805,121.5423407034122,2023-06-24,5,2,1,1,1.0,2,1
Resort Hotel,1,304,2022,April,4,26,11,2,7,4,0,1,HB,USA,Corporate,TA/TO,0,2,2,B,D,4,No Deposit,17.0,5.0,26,Contract,455.0251429433837,2,3,Canceled,2023-07-08,31.18237630547338,121.4904439057368,2022-04-11,0,2,0,9,0.2222222222222222,5,1
Resort Hotel,1,14,2023,June,6,17,15,4,6,1,3,0,HB,USA,Direct,Corporate,0,2,1,G,F,1,No Deposit,3.0,5.0,18,Transient,461.80660685685416,0,1,Canceled,2022-02-02,31.298003169492144,121.4179955427322,2023-06-15,3,2,0,10,0.4,4,1
Resort Hotel,0,181,2022,July,7,46,6,1,9,4,2,0,FB,PRT,Direct,TA/TO,0,2,4,B,E,2,No Deposit,13.0,5.0,12,Group,422.4791452099433,2,0,Check-Out,2022-11-28,31.289369583007343,121.4809535922974,2022-07-06,2,3,0,10,0.1,6,1
Resort Hotel,0,51,2023,March,3,22,23,4,11,2,0,0,BB,ITA,Corporate,TA/TO,0,2,3,E,G,3,Refundable,7.0,6.0,21,Transient,472.71497008234246,1,4,Check-Out,2022-07-12,31.2502700878984,121.55617065306674,2023-03-23,3,1,0,15,0.26666666666666666,2,0
City Hotel,1,184,2023,January,1,19,15,2,14,3,0,1,FB,GBR,Corporate,Corporate,0,1,1,B,E,0,No Deposit,17.0,5.0,22,Transient-Party,314.9886307242004,1,2,Canceled,2022-01-16,31.2107900023258,121.51892179186922,2023-01-15,6,1,1,16,0.125,4,1
Resort Hotel,0,258,2023,September,9,27,5,1,4,1,0,0,BB,USA,Online TA,Direct,0,2,1,E,G,2,No Deposit,18.0,5.0,26,Transient-Party,262.635356732504,0,2,Check-Out,2022-08-19,31.14010976153804,121.51552890128777,2023-09-05,1,3,0,5,0.2,1,0
Resort Hotel,0,123,2023,September,9,43,12,4,12,1,1,0,BB,GBR,Corporate,Direct,0,0,4,G,G,0,No Deposit,11.0,5.0,26,Contract,437.33331846136014,2,1,Check-Out,2023-03-24,31.21298603703005,121.5632485895746,2023-09-12,1,3,0,16,0.25,2,1
Resort Hotel,0,230,2022,November,11,47,13,1,14,3,3,1,HB,PRT,Groups,TA/TO,0,0,1,E,H,2,No Deposit,3.0,5.0,28,Transient,191.4243504565556,1,2,Check-Out,2023-09-06,31.220967370779103,121.47164374169616,2022-11-13,6,4,1,15,0.06666666666666667,7,1
City Hotel,0,294,2022,January,1,27,3,2,13,1,0,0,BB,FRA,Groups,Corporate,0,1,1,F,C,4,Refundable,12.0,5.0,28,Transient-Party,298.81571336149887,2,1,Check-Out,2022-07-22,31.21161139247659,121.4361427282479,2022-01-03,0,1,0,15,0.13333333333333333,1,0
Resort Hotel,0,347,2022,November,11,4,30,4,8,1,1,1,BB,GBR,Corporate,Direct,0,0,4,E,A,2,No Deposit,11.0,5.0,0,Transient,198.6846895197596,1,4,No-Show,2023-05-24,31.21301410384738,121.50808925929384,2022-11-30,2,4,0,12,0.3333333333333333,3,1
Resort Hotel,0,78,2023,April,4,16,2,1,12,2,0,0,HB,DEU,Corporate,Corporate,0,1,2,D,B,4,No Deposit,11.0,5.0,25,Transient,459.9310541581738,0,1,Check-Out,2022-01-28,31.221752507260305,121.46372060801974,2023-04-02,6,2,1,13,0.07692307692307693,2,0
City Hotel,0,14,2023,February,2,42,17,1,4,4,2,1,HB,DEU,Online TA,Direct,0,0,4,H,C,2,Refundable,19.0,5.0,10,Transient,342.080404185016,0,3,Check-Out,2023-07-21,31.239875175657158,121.57213036698288,2023-02-17,4,1,0,5,0.2,7,1
Resort Hotel,0,82,2022,January,1,46,15,3,3,2,1,1,BB,ESP,Offline TA,Corporate,0,1,3,C,C,0,No Deposit,19.0,5.0,19,Transient,432.808933538072,0,1,Check-Out,2023-08-15,31.21060736155715,121.4882018699321,2022-01-15,5,1,1,6,0.5,4,1
City Hotel,0,228,2022,November,11,19,13,2,3,2,0,1,BB,ESP,Corporate,Corporate,0,0,2,B,B,4,Non Refund,4.0,5.0,5,Transient,151.54960686272932,1,2,No-Show,2022-04-19,31.114407514578325,121.556168793332,2022-11-13,6,4,1,5,0.4,3,1
Resort Hotel,1,104,2023,November,11,23,25,2,13,2,0,0,SC,FRA,Offline TA,TA/TO,0,2,1,C,F,3,Refundable,8.0,5.0,29,Transient,430.6829149057722,1,0,Canceled,2022-10-22,31.15583272436699,121.59457402276192,2023-11-25,5,4,1,15,0.13333333333333333,2,0
Resort Hotel,1,270,2023,July,7,21,22,0,8,1,1,0,SC,ITA,Groups,Corporate,0,1,0,A,F,1,No Deposit,13.0,5.0,10,Transient,472.7795095238032,2,2,Canceled,2023-07-10,31.24885998819985,121.49113962145486,2023-07-22,5,3,1,8,0.0,2,1
City Hotel,0,147,2023,November,11,33,1,3,6,3,2,1,BB,PRT,Offline TA,TA/TO,0,2,4,G,E,0,Refundable,10.0,5.0,8,Transient,374.7615207890565,2,4,Check-Out,2023-10-30,31.169291630894296,121.57756998268876,2023-11-01,2,4,0,9,0.3333333333333333,6,1
Resort Hotel,0,282,2023,November,11,5,13,3,2,4,1,1,BB,USA,Offline TA,Corporate,0,2,2,D,G,2,No Deposit,6.0,5.0,7,Transient-Party,248.5716177546807,1,3,Check-Out,2023-11-12,31.13319029675509,121.46858527622248,2023-11-13,0,4,0,5,0.6,6,1
City Hotel,0,171,2023,May,5,33,23,4,13,4,1,0,FB,ESP,Corporate,TA/TO,0,1,4,F,H,2,No Deposit,11.0,2.0,0,Transient,416.3593281679333,0,2,Check-Out,2023-10-25,31.20613739915409,121.46805016979164,2023-05-23,1,2,0,17,0.23529411764705882,5,1
City Hotel,0,284,2022,March,3,50,10,2,4,2,1,1,BB,PRT,Direct,Corporate,0,0,4,B,C,2,No Deposit,6.0,5.0,3,Transient,139.76337529570708,2,0,Check-Out,2022-12-09,31.227049535551277,121.48766510205228,2022-03-10,3,1,0,6,0.3333333333333333,4,1
Resort Hotel,0,214,2022,November,11,1,11,1,8,1,0,0,HB,FRA,Direct,Direct,0,0,0,A,A,2,No Deposit,12.0,5.0,27,Transient,246.39972566927145,1,1,Check-Out,2023-07-08,31.28557292412136,121.50211084842796,2022-11-11,4,4,0,9,0.1111111111111111,1,0
City Hotel,0,181,2022,March,3,31,19,4,6,3,3,0,FB,ITA,Offline TA,Direct,0,0,4,E,A,3,No Deposit,9.0,5.0,5,Transient,261.0444623721361,2,3,Check-Out,2022-01-21,31.131405886224947,121.5931296666124,2022-03-19,5,1,1,10,0.4,6,1
